ParentSKU,Marke,ProductName,Farbcode,Current_Basisfarbe,Current_Highlight_1,Cut,Color_confidence,Resolution_source,Revenue_EUR,Flag
10295819_7222406_000,erima,Erima Flex-Ray Pro Hardground TW-Handsc,,red,grey,Negative Cut,medium,mcp,7257.0,MEDIUM_CONF
10223507_7222201_000,erima,Erima FleX-Ray New Talent Torwarthandsc,,yellow,black,Negative Cut,medium,mcp,7226.0,MEDIUM_CONF
SGP151623,Sells Goalkeeper,SELLS Total Contact Illuminate,,blue,,Hybrid,medium,mcp,7158.0,MEDIUM_CONF
U1151,uhlsport,Uhlsport Absolutgrip Flex Frame Car Han,,yellow,black,Regular Cut,medium,mcp,7111.0,MEDIUM_CONF
E7221806,erima,Erima Skinator Match RF TW-Handschuh Bl,,blue,green,Regular Cut,medium,mcp,7078.0,MEDIUM_CONF
KS10011-001,KEEPERsport,KEEPERsport Varan6 Champ NC TW-Handschu,001,black,white,Negative Cut,high,mcp_ks,7006.0,MCP_KS_VERIFY
R5070908-7701,reusch,Reusch Arrow G3 World Keeper TW-Handsch,,black,blue,Negative Cut,medium,mcp,6911.0,MEDIUM_CONF
10323216_5460234_6027,reusch,Reusch Attrakt Freegel Torwarthandschuh,,silver,,,medium,mcp,6279.0,MEDIUM_CONF
10301313_041948_04,Puma,PUMA Torwarthandschuhe Weiß F04,,white,silver,Hybrid,medium,mcp,6186.0,MEDIUM_CONF
E7221801,erima,Erima Flexinator Ultra Knit TW-Handschu,,blue,green,Negative Cut,medium,mcp,6171.0,MEDIUM_CONF
KS10009-116,KEEPERsport,KEEPERsport Varan6 PRO GC Torwarthandsc,116,white,green,Rollfinger,high,mcp_ks,6031.0,MCP_KS_VERIFY
R5670935-1083,reusch,Reusch Attrakt Freegel Gold X Torwartha,,white,,Hybrid,medium,mcp,6024.0,MEDIUM_CONF
ETS5170908_1015,reusch,Reusch Arrow Gold X TW-Handschuh Weiss,,white,,Negative Cut,medium,mcp,5983.0,MEDIUM_CONF
10351388_042064_12,Puma,PUMA FUTURE Ultimate NC Torwarthandschu,,red,,Negative Cut,medium,mcp,5810.0,MEDIUM_CONF
E7221809,erima,Erima Skinator Match NC,,black,blue,Negative Cut,medium,mcp,5609.0,MEDIUM_CONF
RH1012-013,rehab,rehab Core CG1 FS NC,,white,green,Negative Cut,medium,mcp_rehab,5547.0,MEDIUM_CONF
KS10002-111,KEEPERsport,KEEPERsport Varan6 Hero Power,111,white,,Hybrid,high,mcp_ks,5516.0,MCP_KS_VERIFY
EL4003790,Elite Sport,Elite Sports Neo Revolution 4mm Torwart,,black,white,Negative Cut,medium,mcp,5500.0,MEDIUM_CONF
OG1-MIDNIGHT,One Glove,OG1 Midnight,,black,,Negative Cut,medium,mcp,5392.0,MEDIUM_CONF
NGS3886-486,NIKE,Nike Mercurial Touch Elite TW-Handschuh,,white,blue,Negative Cut,medium,mcp,5321.0,MEDIUM_CONF
R5072200-7083,reusch,Reusch Pure Contact 3 S1 TW-Handschuh J,,black,orange,Negative Cut,medium,mcp,5255.0,MEDIUM_CONF
U1158,uhlsport,Uhlsport Super Resist HN TW-Handschuh F,,black,orange,Hybrid,medium,mcp,5232.0,MEDIUM_CONF
EL4003610,Elite Sport,Elite Sports Neo Revolution 4mm Torwart,,white,,Negative Cut,medium,mcp,5197.0,MEDIUM_CONF
R5070089-7083,reusch,reusch Attrakt Pro G3 Duo Evolution,,black,blue,Hybrid,medium,mcp,5182.0,MEDIUM_CONF
KS10011-019,KEEPERsport,KEEPERsport Varan6 Champ NC TW-Handschu,019,black,white,Negative Cut,high,mcp_ks,5174.0,MCP_KS_VERIFY
ETS5172945_4010,reusch,Reusch Attrakt Fusion TW-Handschuh Juni,,blue,,Negative Cut,medium,mcp,5108.0,MEDIUM_CONF
KS10004-425,KEEPERsport,KEEPERsport Varan6 PRO NC Aqua TW-Hands,425,blue,green,Negative Cut,high,mcp_ks,5101.0,MCP_KS_VERIFY
OG1-TYPE-R-GLD,One Glove,One Glove OG1 TYPE-R Gold David Raya,,white,gold,Hybrid,medium,mcp,5099.0,MEDIUM_CONF
R5070915-1090,reusch,reusch Pure Contact G3 Fusion #KsEdition,,white,blue,Negative Cut,medium,mcp,5040.0,MEDIUM_CONF
10236860_1011267_001,uhlsport,Uhlsport Soft Flex Frame Speed Contact,,black,white,,medium,mcp,5019.0,MEDIUM_CONF
ETS5170025_7805,reusch,Reusch Pure Contact GTX TW-Handschuh F7,,red,black,Negative Cut,medium,mcp,4935.0,MEDIUM_CONF
KS10007-633,KEEPERsport,KEEPERsport Varan6 Premier NC TW-Handsc,633,yellow,black,,high,mcp_ks,4919.0,MCP_KS_VERIFY
R5160666-7783,reusch,reusch Pure Contact Infrared SpeedBump,,black,,Negative Cut,medium,mcp,4819.0,MEDIUM_CONF
HO520303,HO Soccer,HO Soccer SSG Kontrol Knit Torwarthands,,yellow,black,Negative Cut,medium,mcp,4765.0,MEDIUM_CONF
KS10024-701,KEEPERsport,KEEPERsport Varan7 Champ GC TW-Handschu,701,white,blue,Rollfinger,high,mcp_ks,4764.0,MCP_KS_VERIFY
SGP151615,Sells Goalkeeper,SELLS Wrap Illuminate,,blue,,Rollfinger,medium,mcp,4733.0,MEDIUM_CONF
KS10084-760,KEEPERsport,KEEPERsport Varan8 Coach Zone RC TW-Han,760,red,,Regular Cut,high,mcp_ks,4670.0,MCP_KS_VERIFY
E7221810,erima,Erima Skinator Slim NF TW-Handschuh Sch,,black,pink,Negative Cut,medium,mcp,4668.0,MEDIUM_CONF
R3970959-883,reusch,Reusch Fit Control Deluxe G3 Fus TW-Han,,yellow,blue,Negative Cut,medium,mcp,4595.0,MEDIUM_CONF
ETS5170235_4010,reusch,Reusch Attrakt Freegel TW-Handschuh F40,,blue,,Negative Cut,medium,mcp,4577.0,MEDIUM_CONF
U1011388-001,uhlsport,uhlsport FM Super Resist+ HN Torwarthan,,black,orange,Negative Cut,medium,mcp,4558.0,MEDIUM_CONF
EL4003670,Elite Sport,Elite Sports Neo Revolution 4mm Torwart,,black,,Negative Cut,medium,mcp,4538.0,MEDIUM_CONF
R5670995-4129,reusch,Reusch Attrakt Freegel Fusion Goaliator,,blue,,Hybrid,medium,mcp,4504.0,MEDIUM_CONF
HO520285,HO Soccer,HO Soccer SSG Legend Ergo Gecko Torwart,,black,,Negative Cut,medium,mcp,4485.0,MEDIUM_CONF
10295820_7222407_000,erima,Erima Flex-Ray Match Eco TW-Handschuhe,,grey,green,,medium,mcp,4476.0,MEDIUM_CONF
R5070993-7083,reusch,Reusch G3 Goaliator Torwarthandschuh F7,,black,orange,Hybrid,medium,mcp,4458.0,MEDIUM_CONF
ETSFS0423_000,adidas,adidas X Pro Precision to blur Torwarth,,green,,Negative Cut,medium,mcp,4442.0,MEDIUM_CONF
RH1030-998,rehab,Rehab Extreme,,black,blue,Negative Cut,medium,mcp_rehab,4387.0,MEDIUM_CONF
HO0520360,HO Soccer,HO Soccer Kontrol Knit Tech Orange Alert,,black,orange,Negative Cut,medium,mcp,4379.0,MEDIUM_CONF
ETS5170200_2199,reusch,Reusch Pure Contact Silver TW-Handschuh,,yellow,blue,Negative Cut,medium,mcp,4340.0,MEDIUM_CONF
U1095,uhlsport,Uhlsport Next Level Supersoft HN TW-Han,,red,blue,Hybrid,medium,mcp,4209.0,MEDIUM_CONF
HO0520371,HO Soccer,HO Soccer Pro Evolution NG,,yellow,black,Negative Cut,medium,mcp,4099.0,MEDIUM_CONF
R5172900-2199,reusch,Reusch Pure Contact Fusion TW-Handschuh,,yellow,blue,Negative Cut,medium,mcp,4079.0,MEDIUM_CONF
SGP151610,Sells Goalkeeper,Sells Wrap Climalite EC-16 Torwarthands,,black,orange,Rollfinger,medium,mcp,4034.0,MEDIUM_CONF
10288756_5470255_4411,reusch,Reusch Attrakt Silver NC TW-Handschuhe,,blue,gold,Negative Cut,medium,mcp,4029.0,MEDIUM_CONF
R3270870-501,reusch,reusch Keon SG Plus,,,,,medium,mcp,3984.0,NO_COLOR
R5170745-7700,reusch,reusch ATTRAKT FREEGEL INFINITY RESISTOR,,black,white,Negative Cut,medium,mcp,3971.0,MEDIUM_CONF
10351267_042081_04,Puma,PUMA ULTRA Ultimate Hybrid Torwarthands,,white,,Hybrid,medium,mcp,3933.0,MEDIUM_CONF
R5160245-1089,reusch,reusch FREEGEL Silver Italian Flag,,white,blue,Hybrid,medium,mcp,3880.0,MEDIUM_CONF
U1011382-001,uhlsport,Uhlsport Cybertec Soft Flex Frame,,white,blue,Hybrid,medium,mcp,3868.0,MEDIUM_CONF
10273103_SGP202309_000,Sells Goalkeeper,Sells Pistol Aqua Fit TW-Handschuhe Wei,,white,blue,,medium,mcp,3857.0,MEDIUM_CONF
P041829-01,Puma,MyPUMA Grip 1 Pro,,,,Hybrid,medium,mcp,3855.0,NO_COLOR
EL4003850,Elite Sport,Elite Sports Neo Revolution 4mm Torwart,,black,blue,Hybrid,medium,mcp,3827.0,MEDIUM_CONF
RH1000-616,rehab,Rehab Extreme CG3 NC TW-Handschuh Grau,,grey,,Negative Cut,medium,mcp_rehab,3820.0,MEDIUM_CONF
R5670965-4126,reusch,Reusch Attrakt Gold X Roll Finger Torwa,,blue,,Rollfinger,medium,mcp,3816.0,MEDIUM_CONF
RH1000-119,rehab,Rehab Extreme CG3 NC TW-Handschuh Blau,,blue,green,Negative Cut,medium,mcp_rehab,3816.0,MEDIUM_CONF
R3470400-405,reusch,reusch Waorani Pro A2 Ortho-Tec aqua,,,,,medium,mcp,3777.0,NO_COLOR
R5670055-4126,reusch,Reusch Attrakt Duo Evolution Torwarthan,,blue,,Hybrid,medium,mcp,3736.0,MEDIUM_CONF
10351266_042081_02,Puma,PUMA ULTRA Ultimate Hybrid Torwarthands,,orange,,Hybrid,medium,mcp,3708.0,MEDIUM_CONF
R5670725-4127,reusch,Reusch Attrakt Infinity Evolution NC To,,blue,,Hybrid,medium,mcp,3695.0,MEDIUM_CONF
R5670964-4126,reusch,Reusch Attrakt Gold X Evolution Torwart,,blue,,Hybrid,medium,mcp,3687.0,MEDIUM_CONF
R5272235_6006,reusch,Reusch Attrakt Freegel Silver Torwartha,,yellow,grey,Negative Cut,medium,mcp,3677.0,MEDIUM_CONF
EL4003730,Elite Sport,Elite Sports Neo Revolution 4mm Torwart,,black,white,Negative Cut,medium,mcp,3676.0,MEDIUM_CONF
U1070,uhlsport,Uhlsport Aquagrip HN Torwarthandschuh B,,blue,green,Hybrid,medium,mcp,3672.0,MEDIUM_CONF
HO520284,HO Soccer,HO Soccer SSG Legend Ergo Gecko TW-Hand,,green,,Negative Cut,medium,mcp,3672.0,MEDIUM_CONF
P042116-01,Puma,PUMA Future Ultimate Brilliance Nc Torw,,white,,Negative Cut,medium,mcp,3621.0,MEDIUM_CONF
HO0515172IT,HO Soccer,HO Soccer One Hardground NG DNA IV,,yellow,black,Negative Cut,medium,mcp,3600.0,MEDIUM_CONF
P042115-01,Puma,PUMA Ultra Ultimate Brilliance Hybrid T,,white,,Negative Cut,medium,mcp,3565.0,MEDIUM_CONF
RH1006-405,rehab,Rehab Extreme CG3 NC TW-Handschuh Blau,,black,blue,Negative Cut,medium,mcp_rehab,3530.0,MEDIUM_CONF
U1154,uhlsport,Uhlsport Absolutgrip HN Pro TW-Handschu,,blue,orange,Hybrid,medium,mcp,3460.0,MEDIUM_CONF
ETS1011170_001,uhlsport,Uhlsport Pure Alliance Supersoft Handsc,,yellow,white,Regular Cut,medium,mcp,3426.0,MEDIUM_CONF
U1160,uhlsport,uhlsport Soft Resist RC,,black,orange,Regular Cut,medium,mcp,3414.0,MEDIUM_CONF
TT202004,T1tan,KEEPERsport x T1TAN Beast 2.0 TW-Handsc,,yellow,black,Negative Cut,medium,mcp,3410.0,MEDIUM_CONF
10351300_042118_01,Puma,PUMA FUTURE Pro RE-CHARGE Hybrid Torwar,,pink,,Hybrid,medium,mcp,3375.0,MEDIUM_CONF
HO0520368,HO Soccer,HO Soccer SSG Kontrol Knit tech,,black,orange,Negative Cut,medium,mcp,3361.0,MEDIUM_CONF
HO520286,HO Soccer,HO Soccer SSG Legend Ergo Gecko Torwart,,white,,Negative Cut,medium,mcp,3344.0,MEDIUM_CONF
ETS5070115_1091,reusch,Reusch Attrakt Freegel G3 TW-Handschuh,,white,blue,Negative Cut,medium,mcp,3320.0,MEDIUM_CONF
HO520296,HO Soccer,HO Soccer First Evolution III TW-Handsc,,green,,Negative Cut,medium,mcp,3264.0,MEDIUM_CONF
RPB70102101,gloveglu,Glove Glu Bare Skinn NC,,black,,Negative Cut,medium,mcp,3251.0,MEDIUM_CONF
P041640-01,Puma,PUMA King Aqua Torwarthandschuhe Schwar,,black,gold,Regular Cut,medium,mcp,3214.0,MEDIUM_CONF
ETS7221801_465032,erima,Erima Flexinator Ultra Knit TW-Handschu,,,,,medium,mcp,3208.0,NO_COLOR
R5670905-4126,reusch,Reusch Attrakt Fusion NC Torwarthandsch,,blue,,Negative Cut,medium,mcp,3200.0,MEDIUM_CONF
R5670955-4126,reusch,Reusch Attrakt Gold X NC Torwarthandsch,,blue,,Negative Cut,medium,mcp,3177.0,MEDIUM_CONF
HO511286IT,HO Soccer,HO SOCCER First Superlight NC Black T.,,black,,,medium,mcp,3173.0,MEDIUM_CONF
10271328_510294_000,HO Soccer,HO Soccer Ghotta Special Edition TW-Han,,white,blue,,medium,mcp,3151.0,MEDIUM_CONF
RH1001-628,rehab,rehab Master CG2 NC,,white,grey,Negative Cut,medium,mcp_rehab,3147.0,MEDIUM_CONF
E7220701,erima,Erima Tec Lite Match 2.0,,blue,green,Regular Cut,medium,mcp,3099.0,MEDIUM_CONF
HO520289,HO Soccer,HO Soccer First Evolution III Torwartha,,orange,,Negative Cut,medium,mcp,3086.0,MEDIUM_CONF
R5670745-7700,reusch,Reusch Attrakt Infinity Resistor Torwar,,black,,Hybrid,medium,mcp,3050.0,MEDIUM_CONF
R3270871-501,reusch,reusch Keon,,,,,medium,mcp,3035.0,NO_COLOR
KS10007-111,KEEPERsport,KEEPERsport Varan6 Premier NC,111,red,white,Negative Cut,high,mcp_ks,3032.0,MCP_KS_VERIFY
HO520300,HO Soccer,HO Soccer Ghotta Evo2 RN Torwarthandsch,,white,orange,Hybrid,medium,mcp,3018.0,MEDIUM_CONF
ETS5070931_6001,reusch,Reusch Pure Contact X-Ray 3 G3 Fusion G,,black,grey,Negative Cut,medium,mcp,3014.0,MEDIUM_CONF
ETS1011163_001,uhlsport,Uhlsport Pure Alliance SG+ Reflex TW-Ha,,yellow,white,Negative Cut,medium,mcp,3011.0,MEDIUM_CONF
U1182-01,uhlsport,Uhlsport D.Impulse Supergrip 360 TW-Han,,yellow,orange,Hybrid,medium,mcp,3003.0,MEDIUM_CONF
RH1006-558,rehab,Rehab Extreme CG3 NC TW-Handschuh Schwa,,black,green,Negative Cut,medium,mcp_rehab,2976.0,MEDIUM_CONF
U1118-03,uhlsport,Uhlsport Supergrip HN Torwarthandschuh,,yellow,black,Negative Cut,medium,mcp,2931.0,MEDIUM_CONF
U1011344-01,uhlsport,uhlsport Soft Resist+ Torwarthandschuhe,,red,black,,medium,mcp,2924.0,MEDIUM_CONF
ETS3770990_484,reusch,Reusch Serathor Supreme G2 Ortho-Tec Bl,,,,,medium,mcp,2886.0,NO_COLOR
10295815_7222404_000,erima,Erima Flex-Ray Hardground TW-Handschuh,,yellow,grey,Negative Cut,medium,mcp,2855.0,MEDIUM_CONF
ETS5172200_2199,reusch,Reusch Pure Contact TW-Handschuh Junior,,yellow,,Negative Cut,medium,mcp,2850.0,MEDIUM_CONF
R5170935-3002,reusch,Reusch Attrakt Freegel Gold X TW-Handsc,,red,white,Negative Cut,medium,mcp,2849.0,MEDIUM_CONF
RH1006-006,rehab,Rehab Extreme CG3 NC TW-Handschuh Blau,,yellow,blue,Negative Cut,medium,mcp_rehab,2831.0,MEDIUM_CONF
R5399453-1101,reusch,Reusch DUO x Campione d'Italia Meret,,,,,medium,mcp,2812.0,NO_COLOR
HO0515170IT,HO Soccer,HO Soccer SSG Legend Negative DNA IV,,yellow,black,Negative Cut,medium,mcp,2799.0,MEDIUM_CONF
HO0515169IT,HO Soccer,Ghotta EVO2 RN DNA IV,,yellow,,Negative Cut,medium,mcp,2797.0,MEDIUM_CONF
OG1-MONSTER-SL,One Glove,OG1 Mentality Monster Hyla SL,,green,turquoise,Hybrid,medium,mcp,2792.0,MEDIUM_CONF
HO520298,HO Soccer,HO Soccer Kontrol Knit Tech Torwarthand,,blue,,Negative Cut,medium,mcp,2759.0,MEDIUM_CONF
E7222002,erima,Erima Flex RD Pro Torwarthandschuhe Gra,,black,grey,Negative Cut,medium,mcp,2752.0,MEDIUM_CONF
EL4003910,Elite Sport,Elite Sports Neo Rev x Gt 4mm Torwartha,,,,Hybrid,medium,mcp,2752.0,NO_COLOR
E7222003,erima,erima FLEX RD Robusto,,yellow,green,Negative Cut,medium,mcp,2745.0,MEDIUM_CONF
OG1-DOUBT-SL,One Glove,One Glove OG1 Doubters HYL SL,,red,black,Hybrid,medium,mcp,2723.0,MEDIUM_CONF
SGP151626,Sells Goalkeeper,Sells Axis 360 Climatlite EC-16 Handsch,,black,orange,Regular Cut,medium,mcp,2673.0,MEDIUM_CONF
KS10027-B-STOCK,KEEPERsport,KS Varan7 Premier Resist NC B-Stock,STOCK,yellow,black,,high,mcp_ks,2670.0,MCP_KS_VERIFY
EL4003260,Elite Sport,Elite Sports Orca Torwarthandschuhe Meh,,white,blue,Rollfinger,medium,mcp,2635.0,MEDIUM_CONF
R3370101-103,reusch,reusch Argos Pro M1 Ortho-Tec,,,,,medium,mcp,2609.0,NO_COLOR
ETS1011188_01,uhlsport,Uhlsport Pure Allicance Supergrip+ 360,,yellow,white,Regular Cut,medium,mcp,2605.0,MEDIUM_CONF
NGS3381-892,NIKE,Nike Grip 3 Torwarthandschuh Orange F89,,orange,,Hybrid,medium,mcp,2599.0,MEDIUM_CONF
10295813_7222403_000,erima,Erima Flex-Ray Robusto TW-Handschuh Kid,,red,grey,Negative Cut,medium,mcp,2594.0,MEDIUM_CONF
HO515023,HO Soccer,FIRST SUPERLIGHT NEGATIVE DARKSIDE,,black,,Negative Cut,medium,mcp,2586.0,MEDIUM_CONF
R5670735-7700,reusch,Reusch Attrakt Freegel Infinity Torwart,,black,,Hybrid,medium,mcp,2580.0,MEDIUM_CONF
ETS3670100_767,reusch,Reusch Re:pulse Pro G2 OT Torwarthandsc,,black,orange,,medium,mcp,2566.0,MEDIUM_CONF
10271335_520250_000,HO Soccer,HO Soccer SSG Legend II Negative Hyper,,black,blue,Negative Cut,medium,mcp,2563.0,MEDIUM_CONF
10288753_5472710_4411,reusch,Reusch Torwarthandschuhe Kids Blau,,blue,gold,Regular Cut,medium,mcp,2556.0,MEDIUM_CONF
U1144,uhlsport,Uhlsport Dyn Impulse Supersoft HN TW-Ha,,yellow,orange,Negative Cut,medium,mcp,2546.0,MEDIUM_CONF
NXT-PRO-DOUBT-HYL,One Glove,NXT Pro Doubters HYL,,red,white,Hybrid,medium,mcp,2523.0,MEDIUM_CONF
EL4003970,Elite Sport,Elite Sports Neo Rev x Emerald 4mm Torw,,white,,,medium,mcp,2514.0,MEDIUM_CONF
U1175-02,uhlsport,Uhlsport Supergrip Reflex Torwarthandsc,,black,white,Rollfinger,medium,mcp,2511.0,MEDIUM_CONF
RH1006-039,rehab,rehab Extreme CG3 NC (Italy),,white,green,Negative Cut,medium,mcp_rehab,2508.0,MEDIUM_CONF
10369683_KA7811_KA7811,adidas,adidas Copa Club League Torwarthandschu,,black,,Negative Cut,medium,mcp,2477.0,MEDIUM_CONF
10291666_5460964,reusch,Reusch Attrakt AB 1 Duo TW-Handschuh Sc,,black,gold,Hybrid,medium,mcp,2475.0,MEDIUM_CONF
U1091,uhlsport,Uhlsport Next Level AG HN TW-Handschuh,,red,blue,Hybrid,medium,mcp,2462.0,MEDIUM_CONF
ETS1011168_01,uhlsport,Uhlsport Pure Alliance Absolutgrip HN T,,yellow,white,Negative Cut,medium,mcp,2450.0,MEDIUM_CONF
